ID,pd_class,pd_stanford,pd_class_prc,pd_stanford_prc,grabshare,ult_offer,ult_accept,gt_knowledge,libcon,libgon_guess,ingroup
1,Defect,Defect,0.50,0.20,Share,5,5,2,4,3,6
2,Cooperate,Cooperate,0.50,0.50,Grab,5,4,1,3,2,2
3,Defect,Defect,1.00,1.00,Grab,2,2,1,3,4,3
4,Defect,Defect,0.50,0.10,Grab,5,5,3,2,3,1
5,Defect,Defect,0.00,0.00,Share,5,5,3,1,3,5
6,Defect,Defect,0.00,0.00,Share,5,1,4,2,3,5
7,Cooperate,Cooperate,0.25,0.10,Share,5,3,1,3,2,1
8,Defect,Defect,0.60,0.90,Share,9,1,2,2,2,6
9,Cooperate,Cooperate,0.50,0.40,Share,8,6,0,3,3,3
10,Defect,Defect,0.50,0.25,Share,1,1,2,3,3,6
11,Cooperate,Defect,0.70,0.30,Share,4,3,2,2,3,4
12,Defect,Defect,0.50,0.00,Share,5,5,4,5,3,6
13,Cooperate,Defect,0.70,0.40,Share,5,3,1,3,3,2
14,Defect,Defect,0.30,0.10,Share,4,3,1,2,2,3
15,Cooperate,Defect,0.70,0.50,Share,5,4,0,3,3,5
16,Cooperate,Defect,0.60,0.30,Share,5,5,4,2,3,3
17,Defect,Defect,0.00,0.00,Share,3,3,0,3,2,5
18,Defect,Defect,0.50,0.10,Share,4,3,2,4,3,6
19,Cooperate,Defect,0.50,0.20,Share,5,5,3,2,3,7
20,Defect,Defect,0.25,0.00,Share,1,1,4,2,2,4
21,Cooperate,Cooperate,0.50,0.50,Share,5,5,3,2,1,6
22,Cooperate,Defect,1,0,Share,5,3,1,2,4,5
23,Cooperate,Cooperate,0,1,Grab,4,4,1,2,2,7
24,Cooperate,Cooperate,1,1,Share,7,7,3,3,3,4
